Employee_ID,Age,Gender,Education,Experience_Years,Department,Job_Level,Performance_Rating,Certifications,Overtime_Hours,Remote_Work,City,Company_Tenure,Projects_Completed,Skill_Score,Annual_Salary_LPA
EMP10001,28,Male,Master,6,Operations,Junior,1,4,15,Yes,Chennai,6,5,97,35.24
EMP10002,26,Female,Bachelor,5,Operations,Junior,2,3,32,No,Delhi,0,18,62,35.87
EMP10003,31,Female,Bachelor,5,Marketing,Junior,4,5,17,Yes,Hyderabad,4,7,98,35.4
EMP10004,59,Female,Bachelor,29,Sales,Lead,3,0,46,No,Mumbai,14,18,57,73.05
EMP10005,23,Female,Bachelor,0,Sales,Junior,2,4,5,Yes,Hyderabad,0,28,56,28.83
EMP10006,38,Male,Bachelor,8,Marketing,Mid,1,9,40,No,Mumbai,5,18,96,41
EMP10007,24,Male,Bachelor,2,Operations,Junior,2,0,51,No,Mumbai,2,13,67,22.71
EMP10008,46,Female,Master,8,Marketing,Mid,4,2,16,No,Hyderabad,4,8,97,43.26
EMP10009,29,Male,Master,0,Marketing,Junior,5,7,5,Yes,Chennai,0,28,57,34.69
EMP10010,50,Male,Master,13,Operations,Mid,5,4,35,No,Hyderabad,0,22,96,51.96
EMP10011,48,Male,Master,22,IT,Senior,2,7,0,No,Mumbai,8,17,98,68.32
EMP10012,31,Female,Bachelor,6,Sales,Junior,5,8,58,No,Mumbai,0,20,70,35.53
EMP10013,57,Male,Bachelor,19,Marketing,Senior,1,1,46,Yes,Hyderabad,15,27,54,50.73
EMP10014,59,Female,Diploma,18,Sales,Senior,4,3,59,No,Chennai,6,23,69,55.18
EMP10015,35,Male,Bachelor,5,IT,Junior,1,5,1,Yes,Delhi,5,19,64,32.02
EMP10016,42,Male,Master,10,Operations,Mid,1,8,15,No,Mumbai,8,22,81,53.01
EMP10017,47,Female,Master,15,IT,Mid,2,1,6,Yes,Delhi,13,12,77,46.58
EMP10018,42,Male,Bachelor,15,Sales,Mid,1,3,12,No,Mumbai,6,18,78,41.54
EMP10019,25,Male,Diploma,3,HR,Junior,4,8,6,Yes,Chennai,1,21,84,26.02
EMP10020,34,Female,Diploma,2,Marketing,Junior,4,0,10,No,Chennai,2,1,74,24.69
EMP10021,56,Male,Master,23,IT,Senior,4,2,12,Yes,Chennai,9,7,53,61.16
EMP10022,,Male,Master,19,HR,Senior,2,0,32,No,Delhi,2,28,61,53.95
EMP10023,57,Female,Master,15,Operations,Mid,2,9,38,No,Hyderabad,1,20,55,46.29
EMP10024,41,Female,Master,10,IT,Mid,2,4,25,Yes,Chennai,4,22,91,52.42
EMP10025,57,Male,Diploma,22,IT,Senior,1,1,34,Yes,Hyderabad,6,17,66,49.61
EMP10026,49,Female,Diploma,18,IT,Senior,5,4,39,Yes,Hyderabad,0,22,85,60.89
EMP10027,27,Female,Bachelor,0,Sales,Junior,5,2,17,No,Hyderabad,0,20,63,32.39
EMP10028,24,Female,PhD,3,Sales,Junior,1,10,27,Yes,Chennai,3,2,50,33.89
EMP10029,48,Male,Master,12,Sales,Mid,5,0,7,Yes,Chennai,2,29,94,52.27
EMP10030,40,Male,Master,12,Sales,Mid,3,0,57,No,Mumbai,11,7,93,50.58
EMP10031,36,Female,PhD,7,Marketing,Junior,2,2,56,Yes,Hyderabad,7,1,,34.69
EMP10032,27,Female,Bachelor,0,HR,Junior,4,0,54,Yes,Delhi,0,8,62,20.31
EMP10033,46,Female,Master,18,Marketing,Senior,3,4,55,No,Delhi,2,25,67,62.02
EMP10034,37,Female,Bachelor,9,Sales,Mid,2,9,16,No,Delhi,1,4,88,43.81
EMP10035,57,Male,Bachelor,23,IT,Senior,2,4,2,No,Hyderabad,13,1,83,57.61
EMP10036,28,Female,Master,5,HR,Junior,3,8,19,No,Chennai,5,11,75,38.46
EMP10037,32,Female,Bachelor,6,Marketing,Junior,5,9,19,No,Chennai,6,18,50,38.39
EMP10038,34,Female,Master,0,Operations,Junior,5,7,50,No,Delhi,0,22,55,37.72
EMP10039,36,Male,Bachelor,9,Marketing,Mid,3,3,51,Yes,Chennai,6,5,51,32.25
